,Battery Voltage [V],Velocity [km/h],Battery Temperature [°C],Cabin Temperature Sensor [°C],Heat Exchanger Temperature [°C],Throttle [%],SoC [%]
39,391.65,9.91,21.0,22.5,21.44,30.63,86.5
40,391.7,9.95,21.0,22.5,21.49,30.68,86.5
41,391.75,9.98,21.0,22.5,21.5,30.63,86.5
42,391.8,9.98,21.0,22.5,21.5,30.68,86.5
43,391.8,9.96,21.0,22.5,21.5,30.93,86.5
44,391.8,9.92,21.0,22.5,21.5,30.99,86.5
45,391.8,9.9,21.0,22.5,21.5,31.1,86.5
46,391.8,9.89,21.0,22.5,21.5,30.93,86.5
47,391.8,9.88,21.0,22.5,21.5,30.93,86.5
48,391.8,9.86,21.0,22.5,21.5,30.93,86.5
49,391.8,9.84,21.0,22.5,21.5,30.93,86.5
50,391.8,9.84,21.0,22.5,21.5,30.93,86.5
51,391.8,9.82,21.0,22.5,21.46,31.03,86.5
52,391.8,9.79,21.0,22.5,21.41,31.61,86.5
53,391.75,9.78,21.0,22.5,21.36,32.91,86.5
54,391.7,9.77,21.0,22.5,21.31,34.15,86.5
55,391.7,9.81,21.0,22.5,21.26,36.42,86.5
56,391.69,9.84,21.0,22.5,21.21,36.5,86.5
57,391.59,9.9,21.0,22.5,21.16,36.5,86.5
58,391.5,10.0,21.0,22.5,21.11,36.5,86.5
59,391.45,10.09,21.0,22.5,21.06,36.45,86.5
60,391.4,10.18,21.0,22.5,21.01,36.31,86.5
61,391.4,10.3,21.0,22.5,21.04,36.14,86.5
62,391.4,10.43,21.0,22.5,21.09,35.99,86.5
63,391.35,10.59,21.0,22.5,21.14,35.67,86.5
64,391.3,10.72,21.0,22.5,21.19,34.19,86.5
65,391.35,10.85,21.0,22.5,21.24,31.41,86.5
66,391.41,10.95,21.0,22.5,21.29,27.23,86.5
67,391.51,11.05,21.0,22.5,21.34,24.32,86.5
68,391.61,11.13,21.0,22.5,21.39,20.17,86.5
69,391.71,11.13,21.0,22.5,21.44,17.66,86.5
70,391.81,11.15,21.0,22.5,21.49,17.13,86.5
71,391.91,11.13,21.0,22.5,21.46,17.13,86.5
72,392.0,11.0,21.0,22.5,21.41,16.91,86.5
73,392.05,10.92,21.0,22.5,21.36,16.03,86.5
74,392.1,10.79,21.0,22.5,21.31,14.98,86.5
75,392.15,10.65,21.0,22.5,21.26,12.43,86.5
76,392.21,10.48,21.0,22.5,21.21,12.33,86.5
77,392.31,10.28,21.0,22.5,21.16,12.63,86.5
78,392.4,10.04,21.0,22.5,21.11,12.63,86.5
79,392.45,9.75,21.0,22.5,21.06,12.68,86.5
80,392.5,9.45,21.0,22.5,21.01,12.78,86.5
81,392.45,9.11,21.0,22.5,21.0,12.83,86.5
82,392.4,8.78,21.0,22.5,21.0,13.66,86.5
83,392.35,8.5,21.0,22.5,21.0,14.91,86.5
84,392.29,8.2,21.0,22.5,21.0,18.44,86.5
85,392.19,7.98,21.0,22.5,21.0,20.75,86.5
86,392.1,7.84,21.0,22.5,21.0,21.63,86.5
87,392.1,7.69,21.0,22.5,21.0,21.52,86.5
88,392.1,7.54,21.0,22.5,21.0,21.48,86.5
89,392.1,7.4,21.0,22.5,21.0,21.25,86.5
90,392.1,7.27,21.0,22.5,21.0,20.73,86.5
91,392.1,7.12,21.0,22.5,21.0,19.03,86.5
92,392.1,6.97,21.0,22.5,21.0,18.0,86.5
93,392.1,6.79,21.0,22.5,21.0,17.64,86.5
94,392.1,6.64,21.0,22.5,21.0,17.78,86.5
95,392.1,6.46,21.0,22.5,21.0,17.95,86.5
96,392.1,6.29,21.0,22.5,21.0,18.48,86.5
97,392.05,6.13,21.0,22.5,21.0,21.62,86.5
98,392.0,6.0,21.0,22.5,21.0,26.48,86.5
99,391.95,5.93,21.0,22.5,21.0,27.08,86.5
100,391.9,5.9,21.0,22.5,21.0,27.2,86.5
101,391.9,5.9,21.0,22.5,21.04,27.02,86.5
102,391.9,5.89,21.0,22.5,21.09,26.75,86.5
103,391.85,5.92,21.0,22.5,21.14,26.75,86.5
104,391.8,5.97,21.0,22.5,21.19,26.69,86.5
105,391.85,6.02,21.0,22.5,21.24,26.58,86.5
106,391.9,6.08,21.0,22.5,21.29,26.43,86.5
107,391.85,6.13,21.0,22.5,21.34,26.22,86.5
108,391.8,6.16,21.0,22.5,21.39,24.92,86.5
109,391.85,6.19,21.0,22.5,21.44,23.69,86.5
110,391.9,6.2,21.0,22.5,21.49,20.79,86.5
111,391.95,6.2,21.0,22.52,21.46,18.26,86.5
112,392.0,6.13,21.0,22.53,21.41,18.58,86.5
113,392.0,6.09,21.0,22.55,21.36,18.83,86.5
114,392.0,6.07,21.0,22.57,21.31,18.98,86.5
115,392.0,6.02,21.0,22.58,21.26,19.13,86.5
116,392.0,5.96,21.0,22.6,21.21,20.28,86.5
117,392.0,5.93,21.0,22.62,21.16,22.35,86.5
118,392.0,5.94,21.0,22.63,21.11,24.93,86.5
119,391.95,5.97,21.0,22.65,21.06,27.31,86.5
120,391.9,6.05,21.0,22.67,21.01,28.81,86.5
121,391.9,6.09,21.0,22.67,21.04,28.87,86.5
122,391.9,6.14,21.0,22.67,21.09,27.09,86.5
123,391.9,6.23,21.0,22.67,21.14,23.69,86.5
124,391.9,6.33,21.0,22.67,21.19,23.33,86.5
125,391.9,6.39,21.0,22.67,21.24,23.33,86.5
126,391.9,6.43,21.0,22.67,21.29,23.48,86.5
127,391.9,6.44,21.0,22.67,21.34,23.38,86.5
128,391.9,6.46,21.0,22.67,21.39,23.48,86.5
129,391.95,6.48,21.0,22.67,21.44,23.65,86.5
130,392.0,6.5,21.0,22.67,21.49,24.13,86.5
131,391.95,6.56,21.0,22.67,21.46,25.72,86.5
132,391.9,6.63,21.0,22.67,21.41,27.59,86.5
133,391.9,6.7,21.0,22.67,21.36,28.6,86.5
134,391.9,6.8,21.0,22.67,21.31,28.93,86.5
135,391.85,6.91,21.0,22.67,21.26,28.75,86.5
136,391.8,7.05,21.0,22.67,21.21,28.6,86.5
137,391.85,7.13,21.0,22.67,21.16,28.45,86.5
138,391.9,7.21,21.0,22.67,21.11,28.28,86.5
139,391.9,7.31,21.0,22.67,21.06,28.13,86.5
140,391.9,7.37,21.0,22.67,21.01,27.53,86.5
141,391.9,7.47,21.0,22.67,21.0,27.17,86.5
142,391.9,7.54,21.0,22.67,21.0,26.46,86.5
143,391.9,7.59,21.0,22.67,21.0,27.1,86.5
144,391.9,7.79,21.0,22.67,21.0,27.71,86.5
145,391.9,7.72,21.0,22.67,21.0,29.51,86.5
146,391.9,7.75,21.0,22.67,21.0,31.35,86.5
147,391.9,7.68,21.0,22.67,21.0,30.42,86.5
148,391.9,7.7,21.0,22.67,21.0,27.48,86.5
149,391.9,7.55,21.0,22.67,21.0,21.6,86.5
150,391.9,7.53,21.0,22.67,21.0,13.9,86.5
151,391.95,7.39,21.0,22.67,21.0,13.22,86.5
152,392.0,7.2,21.0,22.67,21.0,12.72,86.5
153,392.05,7.05,21.0,22.67,21.0,11.5,86.5
154,392.1,6.91,21.0,22.67,21.0,6.76,86.5
155,392.1,6.78,21.0,22.67,21.0,2.06,86.5
156,392.1,6.52,21.0,22.67,21.0,0.0,86.5
157,392.15,6.07,21.0,22.67,21.0,0.0,86.5
158,392.2,5.57,21.0,22.67,21.0,0.0,86.5
159,392.2,5.24,21.0,22.67,21.0,0.0,86.5
160,392.2,4.73,21.0,22.67,21.0,0.0,86.5
161,392.15,4.19,21.0,22.67,21.0,0.0,86.5
162,392.1,3.68,21.0,22.67,21.0,0.0,86.5
163,392.05,3.09,21.0,22.67,21.0,0.0,86.5
164,392.0,2.55,21.0,22.67,21.0,1.28,86.5
165,391.95,2.14,21.0,22.67,21.0,0.0,86.5
166,391.9,1.74,21.0,22.67,21.0,0.0,86.5
167,391.9,1.36,21.0,22.67,21.0,0.0,86.5
168,391.9,1.2,21.0,22.67,21.0,0.0,86.5
169,391.9,0.99,21.0,22.67,21.0,0.0,86.5
170,391.9,0.9,21.0,22.67,21.0,0.0,86.5
171,391.9,0.4,21.0,22.67,21.0,0.0,86.5
172,391.9,0.23,21.0,22.67,21.0,0.0,86.5
173,391.85,0.34,21.0,22.67,21.0,0.0,86.5
174,391.8,0.44,21.0,22.67,21.0,0.0,86.5
175,391.8,0.55,21.0,22.67,21.0,0.0,86.5
176,391.8,0.56,21.0,22.67,21.0,0.0,86.5
177,391.8,0.5,21.0,22.67,21.0,0.0,86.5
178,391.8,0.42,21.0,22.67,21.0,0.0,86.5
179,391.85,0.29,21.0,22.67,21.0,0.0,86.5
180,391.9,0.41,21.0,22.67,21.0,0.0,86.5
181,391.9,0.4,21.0,22.67,21.0,0.0,86.5
182,391.9,0.28,21.0,22.67,21.0,0.0,86.5
183,391.9,0.21,21.0,22.67,21.0,0.0,86.5
184,391.9,0.17,21.0,22.67,21.0,0.0,86.5
185,391.9,0.17,21.0,22.67,21.0,0.0,86.5
186,391.9,0.15,21.0,22.67,21.0,0.0,86.5
187,391.9,0.13,21.0,22.67,21.0,0.12,86.5
188,391.9,0.11,21.0,22.67,21.0,2.83,86.5
189,391.9,0.09,21.0,22.67,21.0,4.91,86.5
190,391.9,0.08,21.0,22.67,21.0,5.05,86.5
191,391.9,0.07,21.0,22.67,21.04,5.05,86.5
192,391.9,0.02,21.0,22.67,21.09,5.33,86.5
193,391.9,0.0,21.0,22.67,21.14,6.01,86.5
194,391.9,0.0,21.0,22.67,21.19,8.43,86.5
195,391.85,0.0,21.0,22.67,21.24,10.96,86.5
196,391.8,0.0,21.0,22.67,21.29,11.7,86.5
197,391.85,0.0,21.0,22.67,21.34,11.7,86.5
198,391.9,0.0,21.0,22.67,21.39,12.04,86.5
199,391.9,0.0,21.0,22.67,21.44,13.17,86.5
200,391.9,0.0,21.0,22.67,21.49,15.62,86.5
201,391.85,0.0,21.0,22.67,21.46,20.57,86.5
202,391.8,0.0,21.0,22.67,21.41,24.23,86.5
203,391.75,0.0,21.0,22.67,21.36,24.69,86.5
204,391.7,0.0,21.0,22.67,21.31,24.4,86.5
205,391.7,0.0,21.0,22.67,21.26,24.37,86.5
206,391.7,0.02,21.0,22.67,21.21,24.4,86.5
207,391.65,0.57,21.0,22.67,21.16,24.4,86.5
208,391.6,0.86,21.0,22.67,21.11,24.58,86.5
209,391.55,1.1,21.0,22.67,21.06,25.16,86.5
210,391.5,1.29,21.0,22.67,21.01,28.19,86.5
211,391.45,1.56,21.0,22.67,21.0,29.49,86.5
212,391.4,1.83,21.0,22.67,21.0,29.17,86.5
213,391.35,2.17,21.0,22.67,21.0,29.08,86.5
214,391.29,2.53,21.0,22.67,21.0,29.41,86.5
215,391.19,2.9,21.0,22.67,21.0,31.45,86.5
216,391.09,3.28,21.0,22.67,21.0,34.71,86.5
217,390.94,3.66,21.0,22.67,21.0,34.95,86.5
218,390.79,4.12,21.0,22.67,21.0,34.83,86.5
219,390.69,4.66,21.0,22.67,21.0,34.95,86.5
220,390.59,5.14,21.0,22.67,21.0,34.92,86.5
221,390.49,5.67,21.0,22.67,21.0,34.61,86.5
222,390.4,6.22,21.0,22.67,21.0,34.38,86.5
223,390.35,6.75,21.0,22.67,21.0,34.35,86.5
224,390.3,7.23,21.0,22.67,21.0,34.2,86.5
225,390.3,7.73,21.0,22.67,21.0,33.84,86.5
226,390.31,8.2,21.0,22.67,21.0,33.52,86.5
227,390.46,8.61,21.0,22.67,21.0,33.43,86.5
228,390.62,8.93,21.0,22.67,21.0,33.55,86.5
229,390.82,9.14,21.0,22.67,21.0,33.55,86.5
230,391.0,9.34,21.0,22.67,21.0,33.88,86.5
231,391.05,9.43,21.0,22.67,21.0,34.41,86.5
232,391.1,9.54,21.0,22.67,21.0,35.64,86.5
233,391.15,9.59,21.0,22.67,21.0,37.01,86.5
234,391.19,9.68,21.0,22.67,21.0,37.82,86.5
235,391.09,9.79,21.0,22.67,21.0,38.68,86.5
236,390.98,9.88,21.0,22.67,21.0,40.61,86.5
237,390.78,10.02,21.0,22.67,21.0,42.44,86.5
238,390.57,10.24,21.0,22.67,21.0,43.03,86.5
239,390.27,10.61,21.0,22.67,21.0,42.85,86.5
240,389.99,10.96,21.0,22.67,21.0,42.85,86.5
241,389.89,11.43,21.0,22.67,21.0,43.03,86.5
242,389.79,11.9,21.0,22.67,21.0,43.21,86.5
243,389.64,12.32,21.0,22.67,21.0,44.14,86.5
244,389.48,12.79,21.0,22.67,21.0,45.23,86.5
245,389.23,13.32,21.0,22.67,21.0,45.83,86.5
246,388.98,13.89,21.0,22.67,21.0,45.99,86.5
247,388.78,14.52,21.0,22.67,21.0,46.88,86.5
248,388.58,15.15,21.0,22.67,21.0,46.85,86.5
249,388.38,15.79,21.0,22.67,21.0,46.75,86.5
250,388.19,16.47,21.0,22.67,21.0,47.05,86.5
251,388.04,17.11,21.0,22.67,21.0,47.05,86.45
252,387.89,17.84,21.0,22.67,21.0,47.2,86.4
253,387.79,18.54,21.0,22.67,21.0,47.56,86.4
254,387.69,19.25,21.0,22.67,21.0,47.95,86.4
255,387.54,19.87,21.0,22.67,21.0,48.08,86.4
256,387.39,20.54,21.0,22.67,21.0,48.49,86.4
257,387.24,21.3,21.0,22.67,21.0,48.89,86.4
258,387.09,21.95,21.0,22.67,21.0,48.42,86.4
259,386.94,22.66,21.0,22.67,21.0,48.33,86.4
260,386.8,23.17,21.0,22.67,21.0,48.3,86.4
261,386.8,23.7,21.0,22.67,21.0,48.59,86.4
262,386.79,24.34,21.0,22.67,21.0,48.33,86.4
263,386.69,25.02,21.0,22.67,21.0,48.09,86.4
264,386.6,25.67,21.0,22.67,21.0,47.98,86.4
265,386.55,26.25,21.0,22.67,21.0,47.61,86.4
266,386.51,26.83,21.0,22.67,21.0,46.72,86.4
267,386.61,27.37,21.0,22.67,21.0,45.1,86.4
268,386.73,27.84,21.0,22.67,21.0,44.24,86.4
269,387.08,28.36,21.0,22.67,21.0,44.1,86.4
270,387.42,28.79,21.0,22.67,21.0,44.1,86.4
271,387.62,29.04,21.0,22.68,21.04,41.18,86.4
272,387.84,29.37,21.0,22.7,21.09,42.67,86.4
273,388.24,29.86,21.0,22.72,21.14,46.06,86.4
274,388.58,30.31,21.0,22.73,21.19,43.82,86.4
275,388.33,30.37,21.0,22.75,21.24,41.65,86.4
276,388.13,30.47,21.0,22.77,21.29,42.77,86.4
277,388.43,30.69,21.0,22.78,21.34,43.47,86.4
278,388.7,31.05,21.0,22.8,21.39,43.06,86.4
279,388.7,31.38,21.0,22.82,21.44,43.03,86.4
280,388.7,31.58,21.0,22.83,21.49,43.18,86.4
281,388.75,31.78,21.0,22.84,21.46,43.21,86.4
282,388.79,32.0,21.0,22.84,21.41,44.02,86.4
283,388.69,32.21,21.0,22.84,21.36,46.51,86.4
284,388.55,32.39,21.0,22.84,21.31,48.37,86.4
285,388.0,32.71,21.0,22.84,21.26,48.89,86.4
286,387.48,33.03,21.0,22.84,21.21,47.91,86.4
287,387.28,33.32,21.0,22.84,21.16,46.72,86.4
288,387.1,33.7,21.0,22.84,21.11,46.57,86.4
289,387.1,34.1,21.0,22.84,21.06,46.09,86.4
290,387.1,34.54,21.0,22.84,21.01,45.32,86.4
291,387.15,34.92,21.0,22.84,21.0,44.11,86.4
292,387.25,35.25,21.0,22.84,21.0,41.41,86.4
293,387.8,35.57,21.0,22.84,21.0,40.52,86.4
294,388.33,35.83,21.0,22.84,21.0,40.4,86.4
295,388.63,36.06,21.0,22.84,21.0,40.55,86.4
296,388.91,36.23,21.0,22.84,21.0,40.71,86.4
297,389.06,36.38,21.0,22.84,21.0,41.24,86.4
298,389.2,36.48,21.0,22.84,21.0,42.16,86.4
299,389.2,36.64,21.0,22.84,21.0,44.02,86.4
300,389.18,36.75,21.0,22.84,21.0,45.2,86.4
301,388.98,36.93,21.0,22.84,21.04,45.2,86.35
302,388.79,37.09,21.0,22.84,21.09,45.16,86.3
303,388.64,37.26,21.0,22.84,21.14,45.16,86.3
304,388.5,37.38,21.0,22.84,21.19,45.03,86.3
305,388.5,37.67,21.0,22.84,21.24,45.06,86.3
306,388.49,37.89,21.0,22.84,21.29,44.75,86.3
307,388.34,38.03,21.0,22.84,21.34,44.43,86.3
308,388.2,38.2,21.0,22.84,21.39,44.58,86.3
309,388.15,38.38,21.0,22.84,21.44,44.36,86.3
310,388.11,38.65,21.0,22.84,21.49,42.37,86.3
311,388.26,38.86,21.0,22.84,21.5,42.1,86.3
312,388.41,39.04,21.0,22.84,21.5,42.06,86.3
313,388.56,39.14,21.0,22.84,21.5,41.93,86.3
314,388.71,39.28,21.0,22.84,21.5,42.1,86.3
315,388.81,39.45,21.0,22.84,21.5,42.06,86.3
316,388.91,39.66,21.0,22.84,21.5,40.62,86.3
317,389.06,39.75,21.0,22.84,21.5,38.96,86.3
318,389.22,39.75,21.0,22.84,21.5,38.39,86.3
319,389.47,39.7,21.0,22.84,21.5,37.75,86.3
320,389.69,39.96,21.0,22.84,21.5,37.78,86.3
321,389.54,40.08,21.0,22.84,21.5,35.41,86.3
322,389.43,40.09,21.0,22.84,21.5,33.34,86.3
323,389.78,39.92,21.0,22.84,21.5,32.27,86.3
324,390.12,40.01,21.0,22.84,21.5,29.86,86.3
325,390.32,40.13,21.0,22.84,21.5,27.96,86.3
326,390.52,40.13,21.0,22.84,21.5,25.64,86.3
327,390.72,40.21,21.0,22.84,21.5,23.11,86.3
328,390.94,40.13,21.0,22.84,21.5,21.83,86.3
329,391.34,39.99,21.0,22.84,21.5,22.31,86.3
330,391.67,39.96,21.0,22.84,21.5,26.65,86.3
331,391.32,39.94,21.0,22.84,21.5,33.65,86.3
332,390.97,39.86,21.0,22.84,21.5,37.19,86.3
333,390.62,39.69,21.0,22.84,21.5,38.41,86.3
334,390.3,39.73,21.0,22.84,21.5,40.68,86.3
335,390.35,39.73,21.0,22.84,21.5,41.61,86.3
336,390.4,39.63,21.0,22.84,21.5,41.65,86.3
337,390.35,39.56,21.0,22.84,21.5,41.81,86.3
338,390.29,39.62,21.0,22.84,21.5,42.73,86.3
339,390.14,39.67,21.0,22.84,21.5,43.38,86.3
340,389.98,39.7,21.0,22.84,21.5,44.43,86.3
341,389.78,39.71,21.0,22.84,21.5,45.26,86.3
342,389.55,39.84,21.0,22.84,21.5,47.44,86.3
343,389.0,39.88,21.0,22.84,21.5,47.85,86.3
344,388.47,39.93,21.0,22.84,21.5,47.85,86.3
345,388.12,40.16,21.0,22.84,21.5,49.26,86.3
346,387.75,40.45,21.0,22.84,21.5,49.51,86.3
347,387.2,40.67,21.0,22.84,21.5,49.23,86.3
348,386.68,40.91,21.0,22.84,21.5,49.38,86.3
349,386.48,41.27,21.0,22.84,21.5,49.7,86.3
350,386.29,41.61,21.0,22.84,21.5,49.38,86.3
351,386.14,41.98,21.0,22.84,21.5,49.19,86.3
352,385.99,42.37,21.0,22.84,21.5,49.19,86.3
353,385.89,42.69,21.0,22.84,21.5,49.05,86.3
354,385.8,43.08,21.0,22.84,21.5,48.89,86.3
355,385.8,43.47,21.0,22.84,21.5,48.81,86.3
356,385.8,43.84,21.0,22.84,21.5,48.93,86.3
357,385.8,44.23,21.0,22.84,21.5,48.78,86.3
358,385.8,44.58,21.0,22.84,21.5,48.93,86.3
359,385.8,44.77,21.0,22.84,21.5,48.33,86.3
360,385.8,45.14,21.0,22.84,21.5,48.59,86.3
361,385.75,45.59,21.0,22.84,21.5,48.42,86.3
362,385.71,45.94,21.0,22.84,21.5,47.88,86.3
363,385.81,46.22,21.0,22.84,21.5,47.98,86.3
364,385.9,46.54,21.0,22.84,21.5,47.95,86.3
365,385.95,46.79,21.0,22.84,21.5,47.53,86.3
366,386.01,47.08,21.0,22.84,21.5,47.2,86.3
367,386.16,47.42,21.0,22.84,21.5,46.09,86.3
368,386.32,47.64,21.0,22.84,21.5,45.44,86.3
369,386.52,47.9,21.0,22.84,21.5,44.58,86.25
370,386.72,48.06,21.0,22.84,21.5,44.43,86.2
371,386.97,48.3,21.0,22.84,21.5,44.28,86.2
372,387.21,48.52,21.0,22.84,21.5,44.28,86.2
373,387.36,48.67,21.0,22.84,21.5,43.22,86.2
374,387.53,48.88,21.0,22.84,21.5,41.61,86.2
375,387.88,48.99,21.0,22.84,21.5,40.55,86.2
376,388.22,49.09,21.0,22.84,21.5,40.4,86.2
377,388.42,49.23,21.0,22.84,21.5,40.36,86.2
378,388.61,49.19,21.0,22.84,21.5,40.33,86.2
379,388.71,49.31,21.0,22.84,21.5,40.23,86.2
380,388.81,49.25,21.0,22.84,21.5,39.93,86.2
381,388.96,49.37,21.0,22.84,21.5,40.2,86.2
382,389.11,49.52,21.0,22.84,21.5,40.23,86.2
383,389.26,49.59,21.0,22.84,21.5,40.36,86.2
384,389.4,49.64,21.0,22.84,21.5,40.4,86.2
385,389.45,49.74,21.0,22.84,21.5,40.4,86.2
386,389.5,49.77,21.0,22.84,21.5,40.4,86.2
387,389.55,49.79,21.0,22.84,21.5,40.55,86.2
388,389.6,49.74,21.0,22.84,21.5,40.4,86.2
389,389.65,49.79,21.0,22.84,21.5,40.55,86.2
390,389.69,49.9,21.0,22.84,21.5,42.16,86.2
391,389.59,49.86,21.0,22.84,21.5,42.44,86.2
392,389.5,49.87,21.0,22.84,21.5,43.18,86.2
393,389.45,49.97,21.0,22.84,21.5,44.08,86.2
394,389.39,50.05,21.0,22.84,21.5,44.43,86.2
395,389.29,50.09,21.0,22.84,21.5,44.54,86.2
396,389.2,50.16,21.0,22.84,21.5,44.61,86.2
397,389.15,50.23,21.0,22.84,21.5,44.58,86.2
398,389.09,50.33,21.0,22.84,21.5,44.91,86.2
399,388.99,50.38,21.0,22.84,21.5,45.38,86.2
400,388.88,50.43,21.0,22.84,21.5,46.19,86.2
401,388.68,50.48,21.0,22.84,21.5,46.75,86.2
402,388.47,50.49,21.0,22.84,21.5,47.5,86.2
403,388.17,50.69,21.0,22.84,21.5,48.74,86.2
404,387.88,50.61,21.0,22.84,21.5,48.45,86.2
405,387.68,50.71,21.0,22.84,21.5,48.63,86.2
406,387.48,50.94,21.0,22.84,21.5,48.03,86.2
407,387.28,51.13,21.0,22.84,21.5,47.34,86.2
408,387.1,51.26,21.0,22.84,21.5,46.45,86.2
409,387.15,51.58,21.0,22.84,21.5,45.25,86.2
410,387.23,51.78,21.0,22.84,21.5,43.62,86.2
411,387.53,51.82,21.0,22.84,21.5,41.0,86.2
412,387.83,52.0,21.0,22.84,21.5,40.85,86.2
413,388.13,52.2,21.0,22.84,21.5,39.63,86.2
414,388.42,52.2,21.0,22.84,21.5,37.03,86.2
415,388.67,52.28,21.0,22.84,21.5,35.73,86.2
416,388.92,52.35,21.0,22.84,21.5,34.35,86.2
417,389.17,52.32,21.0,22.84,21.5,33.39,86.2
418,389.41,52.37,21.0,22.84,21.5,32.46,86.2
419,389.56,52.38,21.0,22.84,21.5,30.87,86.2
420,389.71,52.35,21.0,22.84,21.5,29.64,86.2
421,389.86,52.34,21.0,22.84,21.5,28.09,86.2
422,390.02,52.26,21.0,22.84,21.5,27.68,86.2
423,390.27,52.32,21.0,22.84,21.5,28.01,86.2
424,390.5,52.43,21.0,22.84,21.5,28.0,86.2
425,390.55,52.38,21.0,22.84,21.5,27.81,86.2
426,390.63,52.23,21.0,22.84,21.5,27.68,86.2
427,390.93,52.17,21.0,22.84,21.5,27.83,86.2
428,391.19,52.19,21.0,22.84,21.5,27.83,86.2
429,391.09,52.12,21.0,22.84,21.5,27.96,86.2
430,391.0,51.93,21.0,22.84,21.5,27.68,86.2
431,391.05,51.74,21.0,22.84,21.5,27.69,86.2
432,391.1,51.61,21.0,22.84,21.5,28.0,86.2
433,391.05,51.55,21.0,22.84,21.5,28.0,86.2
434,391.0,51.47,21.0,22.84,21.5,28.13,86.2
435,391.0,51.41,21.0,22.84,21.5,28.28,86.2
436,391.0,51.33,21.0,22.84,21.5,28.58,86.2
437,391.0,50.98,21.0,22.84,21.5,29.08,86.2
438,391.0,51.2,21.0,22.84,21.5,29.38,86.2
439,390.95,50.85,21.0,22.84,21.5,29.53,86.2
440,390.9,50.95,21.0,22.84,21.5,29.67,86.2
441,390.9,50.94,21.0,22.84,21.5,29.99,86.2
442,390.9,50.83,21.0,22.84,21.5,29.85,86.2
443,390.9,50.68,21.0,22.84,21.5,29.85,86.2
444,390.9,50.62,21.0,22.84,21.5,30.18,86.2
445,390.9,50.54,21.0,22.84,21.5,30.94,86.2
446,390.9,50.45,21.0,22.84,21.5,31.38,86.2
447,390.85,50.33,21.0,22.84,21.5,31.87,86.2
448,390.79,50.32,21.0,22.84,21.5,33.28,86.2
449,390.69,50.2,21.0,22.84,21.5,33.1,86.2
450,390.6,50.18,21.0,22.84,21.5,33.55,86.2
451,390.55,50.09,21.0,22.84,21.5,33.55,86.2
452,390.5,50.04,21.0,22.84,21.5,33.4,86.2
453,390.45,50.02,21.0,22.84,21.5,33.55,86.2
454,390.4,49.94,21.0,22.84,21.5,33.4,86.2
455,390.4,49.82,21.0,22.84,21.5,33.1,86.2
456,390.4,49.86,21.0,22.84,21.5,33.4,86.2
457,390.4,49.77,21.0,22.84,21.5,33.28,86.2
458,390.4,49.75,21.0,22.84,21.5,33.1,86.2
459,390.35,49.66,21.0,22.84,21.5,33.28,86.2
460,390.3,49.63,21.0,22.84,21.5,33.28,86.2
